date,adj_close
2025-05-16,112.93838500976562
2025-05-19,112.1816177368164
2025-05-20,111.88288879394531
2025-05-21,109.99095153808594
2025-05-22,110.6581039428711
2025-05-23,109.25409698486328
2025-05-27,111.88288879394531
2025-05-28,111.04644775390625
2025-05-29,111.54432678222656
2025-05-30,112.55999755859375
2025-06-02,112.47037506103516
2025-06-03,113.11762237548828
2025-06-04,113.00808715820312
2025-06-05,112.05216217041016
2025-06-06,113.41635131835938
2025-06-09,115.16887664794922
2025-06-10,118.22583770751953
2025-06-11,119.01248168945312
2025-06-12,118.1063461303711
2025-06-13,117.43919372558594
2025-06-16,118.97265625
2025-06-17,117.62837982177734
2025-06-18,117.35953521728516
2025-06-20,117.13050842285156
2025-06-23,117.25
2025-06-24,118.6500015258789
2025-06-25,119.41999816894531
2025-06-26,121.45999908447266
2025-06-27,122.33999633789062
2025-06-30,124.01000213623047
2025-07-01,123.48999786376953
2025-07-02,122.9800033569336
2025-07-03,124.0
2025-07-07,123.16000366210938
2025-07-08,121.81999969482422
2025-07-09,120.61000061035156
2025-07-10,121.55999755859375
2025-07-11,119.87000274658203
2025-07-14,119.97000122070312
2025-07-15,118.9800033569336
2025-07-16,119.81999969482422
2025-07-17,122.20999908447266
2025-07-18,121.41999816894531
2025-07-21,120.83999633789062
2025-07-22,121.05999755859375
2025-07-23,122.94000244140625
2025-07-24,121.94999694824219
2025-07-25,121.47000122070312
2025-07-28,120.37000274658203
2025-07-29,119.91000366210938
2025-07-30,119.54000091552734
2025-07-31,119.11000061035156
2025-08-01,116.58999633789062
2025-08-04,119.3499984741211
2025-08-05,118.31999969482422
2025-08-06,115.16999816894531
2025-08-07,112.87999725341797
2025-08-08,112.43000030517578
2025-08-11,112.55000305175781
2025-08-12,113.72000122070312
2025-08-13,116.63999938964844
2025-08-14,116.30999755859375
2025-08-15,115.38999938964844
